ano,bioma,lat,long,mes,focos
2013,Rio Grande do Norte,-5.22,-36.52,MARÇO,7
2013,Rio Grande do Norte,-5.22,-36.52,ABRIL,8
2013,Rio Grande do Norte,-5.22,-36.52,MAIO,2
2013,Rio Grande do Norte,-5.22,-36.52,JUNHO,2
2013,Rio Grande do Norte,-5.22,-36.52,JULHO,0
2013,Rio Grande do Norte,-5.22,-36.52,AGOSTO,3
2013,Rio Grande do Norte,-5.22,-36.52,SETEMBRO,6
2013,Rio Grande do Norte,-5.22,-36.52,OUTUBRO,63
2013,Rio Grande do Norte,-5.22,-36.52,NOVEMBRO,71
2013,Rio Grande do Norte,-5.22,-36.52,DEZEMBRO,39
2014,Rio Grande do Norte,-5.22,-36.52,JANEIRO,32
2014,Rio Grande do Norte,-5.22,-36.52,FEVEREIRO,7
2014,Rio Grande do Norte,-5.22,-36.52,MARÇO,4
2014,Rio Grande do Norte,-5.22,-36.52,ABRIL,2
2014,Rio Grande do Norte,-5.22,-36.52,MAIO,1
